Date,AWK,BNDX,GLD,JNJ,KO,MCD,MO,MSFT,NRG,NVDA,O,PFE,PG,SCHD,SPLV,SPY,T,TIP,URTH,USMV,VIG,VNQ,VYM,VZ,WMT,XLP,XLV,XOM
2013-06-04,31.36534881591797,37.37143325805664,135.22999572753906,60.717010498046875,28.439950942993164,72.12749481201172,17.2310848236084,28.763975143432617,19.362138748168945,0.3376197814941406,24.329082489013672,16.549949645996094,55.42584991455078,9.353222846984863,23.952119827270508,132.30374145507812,11.417987823486328,88.18612670898438,51.29684829711914,26.099878311157227,53.49170684814453,43.37504577636719,39.46240234375,27.19646453857422,19.924026489257812,29.492177963256836,39.58588790893555,55.829288482666016
2013-06-05,31.20777130126953,37.41599655151367,135.52000427246094,60.4138069152832,27.9112606048584,70.69773864746094,16.99315071105957,28.591339111328125,19.400569915771484,0.3303866684436798,24.502779006958008,16.4422550201416,54.917232513427734,9.235466957092285,23.681692123413086,130.4513702392578,11.286742210388184,88.2925033569336,49.73078155517578,25.7903995513916,52.735321044921875,43.016632080078125,38.96644973754883,26.895753860473633,19.742984771728516,29.135364532470703,39.00944519042969,55.12825012207031
2013-06-06,31.530794143676758,37.36399841308594,136.52999877929688,60.9769172668457,28.00738525390625,70.88835144042969,17.040739059448242,28.73931884765625,19.715713500976562,0.3324865698814392,25.444137573242188,16.819210052490234,55.03184509277344,9.288738250732422,23.898027420043945,131.63233947753906,11.462800979614258,88.1937484741211,49.73078155517578,26.068140029907227,52.9559440612793,43.70874786376953,39.290199279785156,27.825698852539062,19.842687606811523,29.259157180786133,39.57765579223633,55.48492431640625
2013-06-07,31.412620544433594,37.28970718383789,133.27999877929688,61.301795959472656,28.43309211730957,72.06150817871094,17.202529907226562,29.322975158691406,20.830242156982422,0.3371531367301941,25.119140625,16.90895652770996,55.69808578491211,9.414904594421387,24.137556076049805,133.30679321289062,11.347564697265625,87.67726135253906,49.57896423339844,26.298269271850586,53.680816650390625,43.71493148803711,39.71726608276367,27.976058959960938,20.026355743408203,29.62327003479004,39.939998626708984,56.23514175415039
2013-06-10,31.37322425842285,37.0222282409668,133.94000244140625,61.46786880493164,28.275156021118164,72.97804260253906,17.240604400634766,29.158573150634766,21.083898544311523,0.3369198441505432,24.861391067504883,16.974767684936523,55.92731475830078,9.412101745605469,24.129831314086914,133.30679321289062,11.520421981811523,87.06966400146484,49.7547607421875,26.266525268554688,53.69657897949219,43.33797073364258,39.751708984375,28.13753890991211,19.87417984008789,29.62327003479004,39.99764633178711,56.0322151184082
2013-06-11,31.404741287231445,37.01482009887695,133.25,61.14297866821289,28.00738525390625,72.02488708496094,17.20729637145996,28.640666961669922,20.84562110900879,0.33062002062797546,24.480371475219727,17.004682540893555,55.96312713623047,9.344813346862793,23.94439697265625,131.93162536621094,11.446797370910645,87.02411651611328,49.09956359863281,26.068140029907227,53.271114349365234,42.69529724121094,39.40729522705078,27.942638397216797,19.742984771728516,29.550451278686523,39.83295440673828,55.626338958740234
2013-06-12,31.90108299255371,37.16340255737305,134.25,60.45709228515625,27.924413681030273,72.03218841552734,17.149484634399414,28.772188186645508,20.322946548461914,0.3278202414512634,24.144187927246094,17.01067352294922,55.59062957763672,9.27471923828125,23.82076644897461,130.83966064453125,11.401981353759766,86.35572814941406,51.153038024902344,25.96497917175293,52.885032653808594,42.114402770996094,39.16620635986328,27.786731719970703,19.635414123535156,29.404794692993164,39.42941665649414,55.18361282348633
2013-06-13,32.20836639404297,37.03710174560547,133.74000549316406,61.301795959472656,27.938234329223633,72.50145721435547,17.226558685302734,28.542020797729492,20.515104293823242,0.3352864980697632,24.710115432739258,17.399593353271484,56.18519592285156,9.378456115722656,24.19163703918457,132.82952880859375,11.61965274810791,87.0165023803711,51.153038024902344,26.330015182495117,53.57838821411133,43.20820236206055,39.70347595214844,28.198781967163086,19.677404403686523,29.71063995361328,40.038822174072266,56.16135025024414
2013-06-14,32.310791015625,37.12625503540039,134.42999267578125,61.301795959472656,27.88983726501465,72.16417694091797,17.139848709106445,28.278959274291992,20.75337791442871,0.33481988310813904,25.175172805786133,17.40557289123535,55.89865493774414,9.342007637023926,24.18621826171875,131.99635314941406,11.494812965393066,86.94050598144531,51.153038024902344,26.274457931518555,53.3577880859375,43.368873596191406,39.5106201171875,28.438230514526367,19.64329719543457,29.637821197509766,39.972938537597656,55.70015335083008
2013-06-17,32.34230422973633,37.15597915649414,133.77000427246094,61.821617126464844,28.124916076660156,72.39878845214844,17.24101448059082,28.772188186645508,20.553537368774414,0.33808648586273193,24.805360794067383,17.447458267211914,56.56488800048828,9.40929889678955,24.34111976623535,133.01560974121094,11.446797370910645,86.6595458984375,51.60846710205078,26.44110679626465,53.70447540283203,43.492469787597656,39.80680847167969,28.237754821777344,19.664287567138672,29.899982452392578,40.06353759765625,56.272037506103516
2013-06-18,32.428977966308594,37.096527099609375,132.1300048828125,62.3486442565918,28.297754287719727,73.13935852050781,17.414432525634766,28.755746841430664,20.591968536376953,0.335986465215683,25.03507423400879,17.5910587310791,56.6221923828125,9.473784446716309,24.449541091918945,134.06712341308594,11.578035354614258,86.89495849609375,51.60846710205078,26.576005935668945,54.03538131713867,43.71493148803711,40.07544708251953,28.705514907836914,19.868932723999023,30.00920295715332,40.401161193847656,56.53029251098633
